"Időbélyeg","Kijelentem, hogy elmúltam 18 éves, a fenti tájékoztatót elolvastam, és hozzájárulok, hogy válaszaimat kutatáshoz felhasználják.","Milyen nemű vagy?","Hány éves vagy?","Jelenleg olyan munkakörben dolgozol, amely pszichológiai támogatást, mentálhigiénés ellátást vagy tanácsadást foglal magában? (pl. terapeuta, pszichológus, coach, segítő vagy) - Opcionális","Mi jellemző rád az alábbiak közül?","Milyen gyakran használsz mesterséges intelligenciát? (ChatGPT, ...)","Milyen mesterséges intelligencia eszközöket használsz? (Jelölhetsz többet is)","Használtál-e már valaha AI-t pszichológiai témában, személyes dolgaid megbeszélésére, a saját működésed / szociális helyzetek megértésére, vagy akár ""terapeutaként""?","Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami szóba jöhet)","Mi az, ami általában arra vezet, hogy AI-t használj ilyen esetekben? (Válassz max hármat)","Amikor AI-t használsz, hogyan használod a leggyakrabban? (Jelöld mindet, ami megfelelő lehet)","Melyik írja le legjobban az AI használatával kapcsolatos élményed?","Mi alapján bízol egy AI által kapott válaszban? (Jelöld az összes megfelelőt)","Mikor nem bízol egy mesterséges intelligencia által adott válaszban, vagy hagyod figyelmen kívül azt? (Jelöld az összes szóba jöhetőt) ","Állítottál már fel személyes szabályokat vagy korlátokat a mesterséges intelligencia használatoddal kapcsolatban?","Mielőtt mesterséges intelligenciát önreflexióra használtál volna, mennyire érezted, hogy jól ismered magad, tudatos vagy?","Hogyan változott saját magad megértése az AI használatával? ","Kaptál már olyan visszajelzést AI-tól magaddal kapcsolatban, ami miatt megkérdőjelezted, újraértékelted azt, ahogy látod magad?","Amennyiben igen, hogy reagáltál erre? (Jelöld mindet, ami szóba jöhet) ","Általánosságban kijelentenéd-e, hogy az AI főleg: ","A tapasztalataid szerint az AI által kapott pszichológiai tanács ilyen:","Mi aggaszt leginkább a mesterséges intelligencia használatával kapcsolatban ebben a témában? (Opcionális, jelölj bármennyit)","Opcionális: van valami a mesterséges intelligenciával és az önreflexióval kapcsolatos tapasztalataidban, ami fontosnak tűnik, de nem került szóba? (Röviden / hosszan is kifejthető)","Opcionális: ha nyitott lennél folytatólagos részvételre a későbbiekben, itt megadhatod az email címed is."
"2026/01/28 11:49:57 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT","Igen","Önmagam, mintázataim megértésére","Kíváncsiság","Feedbackre, véleményre a gondolataimról;Semleges másodvéleményként","Erősen függ a helyzettől","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","3. Átlagos szinten értem a saját működésem","Valamennyire tisztult","Nem","","Megerősítette az önmagadról alkotott képed, narratíváid","gyengébb, mint a terápia","Félrevezető, fals információk","Egzakt és jól strukturált pszihológia/önismereti kérdésekre határozottabb és használhatóbb választ ad, mint egy segítő (pszihologus, dilidoki, segito, coach, terapeuta, tanacsadó, stb), de már a picit mélyebb, elvontabb, összetettebb gondolatokkal nem tud mit kezdeni, hiába promptolod nagyon. Nem kérdez vissza pl mint egy pszihológus, ha valamit nem ért, hanem nyomja neki, hátha bejön.",""
"2026/01/29 12:06:40 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Önmagam, mintázataim megértésére","Nincs időm / lehetőségem szakember segítségére","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására;Érzelmi megerősítésre","Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be;Ha biztosnak hangzik","Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Már sokkal jobban értem magam","Igen","Elgondolkodtam rajta","Megerősítette az önmagadról alkotott képed, narratíváid","egészen hasonló vagy jobb, mint a terápia","Félrevezető, fals információk;Érzelmi függőség kialakulása;A privátszféra","Sokkal jobb, gyorsabb, strukturáltabb és olcsóbb (ingyenes…) az AI „terápiája”, mint a nagyképű okostojás pszichológusoké! Ezerszer jobban bízom az AI széles körű tudásában, mint az egyes emberekében. ",""
"2026/01/29 7:11:32 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Néha","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére","Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is;Nincs időm / lehetőségem szakember segítségére","Ötletelésre, brainstorming partnerként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Körülbelül ugyanaz maradt","Nem","Szituációtól függött","Nem vagyok biztos ebben / nem tudom","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;A privátszféra","AI hallucinations jelenség, téves információkat prezentál, érzelmi támogató funkcióban hajlamos mindig igazat adni és azt mondani, amit szerinte hallani szeretnél",""
"2026/01/29 10:16:18 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Nem érint a téma / nem szeretném megosztani","Néha","ChatGPT;Gemini","Nem","Képgeneráció, angol szövegek spanyolra fordítása, prezentáció készítés ","Gyorsabb megoldás: kevés az időm","Ötletelésre, brainstorming partnerként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túlzottan leegyszerűsíti a dolgokat","Még sohasem gondoltam ilyesmire","4. Meglehetősen jól ismerem magam","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Nem vagyok biztos ebben / nem tudom","nem gondoltam ilyenekre / nem tudom","Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","Konkrétan nem használtam még ő fejlesztésre az AI-t, de az már így is kiderült hogy nagyon behízelgő stílusban válaszol ","noemi@tappx.com"
"2026/01/29 10:33:36 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","45 - 54","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","Gemini;Copilot","Igen","A gondolataim, érzéseim jobb megértésében;Nehéz beszélgetésekre felkészülni;Karrier tanács, fejlődési irány támogatása","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Ötletelésre, brainstorming partnerként;Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","2. Valamennyire tudatos vagyok az érzéseimmel","Valamennyire tisztult","Nem","","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/29 11:02:54 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Hetente többször","ChatGPT;M365 Copilot","Igen","Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Pszichológiai témákról tanulni","Szeretném jobban, strukturáltabban átlátni a kérdést;Gyorsabb megoldás: kevés az időm","Ötletelésre, brainstorming partnerként;Problémamegoldóként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha ellentmond a saját megélt élményemmel","Nem","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Nem vagyok biztos benne / nem tudom","","Nem vagyok biztos ebben / nem tudom","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/29 1:10:37 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","25 - 34","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Néha","ChatGPT","Nem","Technikai kérdésekben.","Nincs időm / lehetőségem szakember segítségére;Gyorsabb megoldás: kevés az időm","Ötletelésre, brainstorming partnerként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Egyik sem igaz","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/29 2:21:16 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","45 - 54","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT;Gemini;Rovo Dev","Igen","Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat","Még sohasem gondoltam ilyesmire","5. Nagyon tudatos vagyok a belső működéseimmel","Körülbelül ugyanaz maradt","Nem","","Nem vagyok biztos ebben / nem tudom","nem gondoltam ilyenekre / nem tudom","Félrevezető, fals információk","Sosem bízom benne, mégis használom. Főleg keresésre, az információk struktúrálására. Mindig több forrásból ellenőrzöm a válaszokat.","vargha.mark.peter@gmail.com"
"2026/01/30 8:58:57 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Hetente többször","ChatGPT;Gemini","Igen","Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Körülbelül ugyanaz maradt","Nem","","Mindkettő megtörtént","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","Amerikai cégek erre a mechanizmusra terapias vallalkozasokat hoznak letre, amit kifejezetten aggasztonak tartok",""
"2026/01/30 9:43:52 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Van diagnózisom valamilyen más pszichés kondícióról","Napi szinten","ChatGPT;Claude","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Mint egy útmutató, következő lépések kitalálására;Érzelmi megerősítésre","Erősen függ a helyzettől","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Már sokkal jobban értem magam","Igen","Elgondolkodtam rajta;Integráltam az AI-tól kapottakat, legalább részben;Szituációtól függött","Mindkettő megtörtént","gyengébb, mint a terápia","A privátszféra","",""
"2026/01/30 9:53:14 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Hetente többször","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Nincs időm / lehetőségem szakember segítségére","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Mint egy útmutató, következő lépések kitalálására;Érzelmi megerősítésre","Főként a saját gondolkodásom tisztázására használom az AI-t","Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","3. Átlagos szinten értem a saját működésem","Valamennyire tisztult","Igen","Elgondolkodtam rajta;Kényelmetlenül éreztem magam, de kíváncsivá tett","Mindkettő megtörtént","nem gondoltam ilyenekre / nem tudom","Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/30 9:59:05 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Hetente többször","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Mint egy útmutató, következő lépések kitalálására","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha ellentmond a saját megélt élményemmel","Valamennyire / nem kőbe vésve","3. Átlagos szinten értem a saját működésem","Már sokkal jobban értem magam","Nem","Nem foglalkoztam vele, ignoráltam","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","Nincs","panni.partai@gmail.com"
"2026/01/30 10:31:24 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Van diagnózisom valamilyen más pszichés kondícióról","Hetente többször","Gemini","Nem","Pszichológiai témákról tanulni","Gyorsabb megoldás: kevés az időm","Ötletelésre, brainstorming partnerként;Problémamegoldóként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Még sohasem gondoltam ilyesmire","5. Nagyon tudatos vagyok a belső működéseimmel","Nem volt rá hatással / nem tudok erre válaszolni","Nem vagyok biztos benne / nem tudom","","Egyik sem igaz","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","",""
"2026/01/30 10:33:53 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","25 - 34","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT;Claude","Igen","A gondolataim, érzéseim jobb megértésében;Önmagam, mintázataim megértésére","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Általam nem látott, hibák, kritikák és hasonlók megfogalmazàsára.","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be;Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Nem","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Igen","Elgondolkodtam rajta;Integráltam az AI-tól kapottakat, legalább részben;Szituációtól függött","Nem vagyok biztos ebben / nem tudom","nem gondoltam ilyenekre / nem tudom","Nincsenek különösebb aggodalmaim","","mosolygomilantamas@gmail.com"
"2026/01/30 11:05:32 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT;Gemini;Claude;","Igen","Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Célravezetőbb kommunikációs formák elsajátítása.","Mélykutatás, hogy a megértést erősítse.","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik","Valamennyire / nem kőbe vésve","5. Nagyon tudatos vagyok a belső működéseimmel","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Egyik sem igaz","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","Én elsősorban mélykutatásra használom, egy-egy engem érintő pszichológiai téma körbejárására, a megértés és esetenként a célravezetőbb kommunikáció mélyítésére, így számomra fontos a pontos forrásmegjelölés.","tia.gabriella@gmail.com"
"2026/01/30 11:20:19 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","45 - 54","Igen","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT;Gemini;AI agentek, perplexity","Nem","Pszichológiai témákról tanulni;orvosi leleek értelmezése, beadandó megírása, szakvélemény készítése,  tanulás támogatása","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Gyorsabb megoldás: kevés az időm;Tanácsadóként, vagy alkalmazottként tekintek az ai-ra.","Problémamegoldóként;Mint egy útmutató, következő lépések kitalálására;Sok egyéb más. Pl. tudományos cikkel ""beszélgetés""","Erősen függ a helyzettől","Ha új perspektívát mutat;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne;Csak ritkán van, hogy nem bízom benne","Nem","4. Meglehetősen jól ismerem magam","Nem volt rá hatással / nem tudok erre válaszolni","Nem","Nem foglalkoztam vele, ignoráltam","Nem vagyok biztos ebben / nem tudom","nem gondoltam ilyenekre / nem tudom","Az emberi kapcsolat hiánya, elvesztése;A privátszféra;Elbutulás, ""smart"" funkciók outsourcolása","","kristof.szekeres@gmail.com"
"2026/01/30 11:36:56 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Nehéz beszélgetésekre felkészülni","Szeretném jobban, strukturáltabban átlátni a kérdést","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Megkérdőjelezte, újraértékelte azt","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Nem igazán lehet kikapcsolni benne a ""felszopó"" üzemmódot.","Ha nem lenne sok saját önismereti tapasztalatom, szerintem könnyen félrevinne bizonyos kérdésekben. Különösen a nárcisztikus jellemvonásokat rezegteti meg a konstans validálásával, ami szerintem kifejezetten veszélyes. Saját részre csak olyan dolgokról beszélek vele, amiket egyedül nehezebb átgondolnom, de más élő emberrel nem akarom. Kicsit mint egy interaktív napló. Viszont rettentő fárasztó, hogy mindig meg kell kérdőjeleznem és vissza kell kérdeznem, hátha ""hazudik"".","f.liliness+elte@gmail.com"
"2026/01/30 11:38:46 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Nem érint a téma / nem szeretném megosztani","Hetente többször","ChatGPT;Céges ","Igen","A gondolataim, érzéseim jobb megértésében;Szakmai ","Segít érzelmektől mentesen is látni, segít kibeszélni és ezáltal tisztán látni","Feedbackre, véleményre a gondolataimról;Érzelmi megerősítésre","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Általában nem bízom annyira a mesterséges intelligenciában","Ha túlzottan leegyszerűsíti a dolgokat","Nem","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Nem","","Megerősítette az önmagadról alkotott képed, narratíváid","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk","Szerintem túl fekete fehéren elemzi a dolgokat és ugye az emberek és az egész élet nem így működik ezért veszélyes lehet ha valakit ez befolyásol pl döntésekben","nellikurcina@gmail.com"
"2026/01/30 11:56:34 de. CET","Igen, szeretnék részt venni a kutatásban","Férfi","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT;Gemini;Claude;grok, deepseek","Igen","A gondolataim, érzéseim jobb megértésében;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","3. Átlagos szinten értem a saját működésem","Körülbelül ugyanaz maradt","Igen","Elgondolkodtam rajta;Szituációtól függött","Mindkettő megtörtént","bizonyos aspektusaiban hasonló, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;A privátszféra","",""
"2026/01/30 12:04:40 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT;Grok","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni","Kíváncsiság;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is;Nincs időm / lehetőségem szakember segítségére","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Érzelmi megerősítésre","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Még sohasem gondoltam ilyesmire","4. Meglehetősen jól ismerem magam","Már sokkal jobban értem magam","Igen","Elgondolkodtam rajta;Kényelmetlenül éreztem magam, de kíváncsivá tett","Mindkettő megtörtént","bizonyos aspektusaiban hasonló, mint a terápia","Félrevezető, fals információk","","nanicsak@gmail.com"
"2026/01/30 12:19:17 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Napi szinten","ChatGPT;Gemini","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Nincs időm / lehetőségem szakember segítségére","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Semleges másodvéleményként","Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha túl általánosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","5. Nagyon tudatos vagyok a belső működéseimmel","Valamennyire tisztult","Nem","","Mindkettő megtörtént","bizonyos aspektusaiban hasonló, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/30 12:27:25 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","25 - 34","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Hetente többször","Gemini","Nem","Teendők, hétköznapi élet megszervezésére","Kíváncsiság;Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést","Ötletelésre, brainstorming partnerként;Semleges másodvéleményként;Problémamegoldóként","Erősen függ a helyzettől","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik","Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Még sohasem gondoltam ilyesmire","2. Valamennyire tudatos vagyok az érzéseimmel","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Nem vagyok biztos ebben / nem tudom","nem gondoltam ilyenekre / nem tudom","Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","",""
